"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"AFG",-6.619,-15.019,-16.201,-14.745,-12.811,-14.704,-11.705,-11.878,-12.1,-11.596,-8.758,-5.976,-10.596,-11.468,-9.225
"ALB",-3.442,-15.029,-12,-24.488,-2.637,-11.369,-11.557,-11.63,-3.053,-1.834,-7.554,-1.731,2.183,-2.877,2.886
"DZA",-1.842,-3.419,-7.638,-6.661,-3.42,-7.89,-1.375,-4.416,-5.934,-2.143,-3.139,-5.681,-6.802,-5.131,-2.803
"ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",-7.183,-4.611,-6.474,-4.169,-1.17,-3.655,-3.615,-1.601,-3.882,-2.756,-3.051,-5.863,0.834,-3.869,-4.047
"ARM",-9.733,-18.875,-17.892,-18.459,-13.198,-17.676,-15.923,-1.659,-16.399,-8.073,-10.416,-9,-10.723,-14.028,-1.25
"ARB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",-10.627,-5.106,-9.092,-14.27,-10.214,-11.914,-11.247,-12.575,-4.073,-9.17,-10.043,-1.48,-5.203,-8.047,-9.613
"AUT",-9.61,-16.006,-12.277,-17.968,-4.601,-9.68,-9.628,-10.48,-6.514,-0.149,-9.756,-5.887,-0.177,-4.161,-1.518
"AZE",7.876,-0.557,1.856,1.669,-0.862,-1.795,-6.536,5.195,-2.447,2.508,-1.613,-3.311,-3.554,-1.899,-1.491
"BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGD",-2.18,-0.407,1.489,5.571,2.19,2.824,3.075,-2.117,1.745,-0.611,-1.979,1.092,-2.487,1.066,1.55
"BRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLR",-6.738,-8.978,-7.693,-6.825,-7.666,-2.657,-4.412,-4.438,-3.774,-4.636,-6.731,-5.541,-0.611,-4.842,-2.516
"BEL",-3.837,-8.928,-5.939,-10.541,-7.156,-6.34,-7.788,-7.052,-4.747,3.798,-5.815,-4.495,0.862,-1.944,3.149
"BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN",0.292,-2.639,-3.568,-1.401,-4.708,-3.478,-3.245,-4.559,-1.209,-4.27,1.137,-2.938,-3.591,1.114,-6.01
"BOL",-1.18,-0.405,1.771,2.61,0.425,-1.131,-0.794,1.27,-0.346,-0.253,1.349,1.198,-0.547,2.23,-0.598
"BIH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
